Neighborhood,City,State,med_2011,med_2014
Cotswold,Charlotte,NC,75200,75000.0
Wesley Heights,Washington,DC,263200,253300.0
Harbour Island,Tampa,FL,126000,158300.0
Uptown,Seattle,WA,229400,262600.0
Madison Park,Seattle,WA,284100,317200.0
Jefferson Park,Charlottesville,VA,131400,119100.0
View Ridge,Seattle,WA,155900,156900.0
Streeterville,Chicago,IL,299900,327200.0
Union Station,Denver,CO,300300,335100.0
East Merrimack,Merrimack,NH,101600,93000.0
Rancho San Joaquin,Irvine,CA,402000,505000.0
Belcaro,Denver,CO,223100,252600.0
Elizabeth,Charlotte,NC,97700,115900.0
City Center,Miami Beach,FL,185200,273000.0
Belknap,Louisville,KY,202200,230400.0
Peachtree Heights West,Atlanta,GA,111700,106700.0
Schnitzelburg,Louisville,KY,89300,104600.0
Cahuenga Pass,Los Angeles,CA,564500,710300.0
Mission Hills,Henderson,NV,81200,95800.0
Downtown,Washington,DC,363400,421500.0
Minnehaha,Minneapolis,MN,119400,124800.0
Deer Park,Louisville,KY,166000,188700.0
Tollgate Overlook,Aurora,CO,41000,47500.0
Sequoyah,Oakland,CA,194600,218800.0
Wyandotte,Louisville,KY,55600,56800.0
Central Beach Alliance,Fort Lauderdale,FL,141800,186100.0
Audubon,Louisville,KY,117400,125300.0
Sharon Woods,Charlotte,NC,69100,68100.0
Regis,Denver,CO,171400,200600.0
Village Shires,Northampton Township,PA,158600,143700.0
South Louisville,Louisville,KY,49500,57200.0
Park Duvalle,Louisville,KY,41500,45800.0
El Dorado Park Estates,Long Beach,CA,171200,187400.0
Fourth Ward,Charlotte,NC,177400,207300.0
Hikes Point,Louisville,KY,137600,144000.0
Germantown,Louisville,KY,79500,94300.0
Stapleton,Denver,CO,152400,170300.0
Centretech,Aurora,CO,42100,47800.0
Cherokee Triangle,Louisville,KY,164000,197900.0
Edgewood,Atlanta,GA,138900,140200.0
Inman Park,Atlanta,GA,152600,161500.0
Playa Vista,Los Angeles,CA,358900,421500.0
Heather Ridge,Aurora,CO,70300,80500.0
U Street Corridor,Washington,DC,397600,459300.0
Globeville,Denver,CO,79400,102000.0
North Delridge,Seattle,WA,191500,202500.0
Central Business District,Denver,CO,216900,265900.0
Fulton River District,Chicago,IL,218000,236000.0
Eisenhower East,Alexandria,VA,354400,370300.0
Central Business District,Orlando,FL,59600,108900.0
Moss Bay,Kirkland,WA,275300,305600.0
Town Center,Reston,VA,130000,162000.0
Central Business District,Pittsburgh,PA,92300,117300.0
Cathedral Heights,Washington,DC,281300,278600.0
Central Business District - Downtown,Kansas City,MO,138400,156800.0
Downtown,Salt Lake City,UT,201900,224100.0
Sylvan Park,Nashville,TN,135600,169100.0
Old Town-Chinatown,Portland,OR,163000,188400.0
South Salt Creek,Lincoln,NE,50600,56800.0
Northcrest,Columbus,OH,46800,51600.0
Candler Park,Atlanta,GA,128000,123000.0
West End,Washington,DC,447700,511700.0
Navy Yard,Washington,DC,404800,485900.0
Yankee Hill,Milwaukee,WI,180000,158200.0
North Highland,Arlington,VA,267900,261100.0
Downtown,Boston,MA,453100,575900.0
Alamitos Heights,Long Beach,CA,193700,220200.0
Indian Creek,Denver,CO,126100,129000.0
Conway,Orlando,FL,30500,36900.0
Bluff Park,Long Beach,CA,208200,274600.0
East Isles,Minneapolis,MN,109400,126600.0
Keewaydin,Minneapolis,MN,92400,107600.0
City Park,Denver,CO,208400,239400.0
Chinatown,Oakland,CA,245200,278400.0
Esther Short,Vancouver,WA,138000,134900.0
Wakefield,Washington,DC,275900,300500.0
The Palisades,Washington,DC,252300,248300.0
Highlands Douglas,Louisville,KY,183500,212200.0
Park East,Sarasota,FL,40800,50700.0
Clearwater Beach Association,Clearwater,FL,172400,191300.0
Waverly Hills,Arlington,VA,218700,231800.0
North Campus,Columbus,OH,67100,74800.0
Cedar-Isles-Dean,Minneapolis,MN,195800,198600.0
Shelby Park,Louisville,KY,54100,66200.0
Ashbrook-Clawson Village,Charlotte,NC,115700,94200.0
Guide Meridian,Bellingham,WA,124700,119000.0
First Ward,Charlotte,NC,133300,148000.0
Dennis Port,Dennis,MA,145400,127800.0
The Strip,Las Vegas,NV,214300,251600.0
Mission Valley West,San Diego,CA,189000,228900.0
Morris Park,Minneapolis,MN,107200,113900.0
North Rosslyn,Arlington,VA,379600,428700.0
Saint Joseph,Louisville,KY,84200,94100.0
Denny Triangle,Seattle,WA,310400,396100.0
Buena Vista Park,San Francisco,CA,483400,657100.0
Clifton,Louisville,KY,113200,129600.0
Downtown Des Moines,Des Moines,IA,89800,80300.0
Smoketown Jackson,Louisville,KY,52600,67000.0
Downtown Charlotte,Charlotte,NC,189600,228700.0
Brightwood Park,Washington,DC,151400,174600.0
Colonial Village,Arlington,VA,277700,292200.0
White Bridge,Nashville,TN,73300,86900.0
Tyler Park,Louisville,KY,144300,164200.0
Livingston - McNaughten,Columbus,OH,35200,33100.0
Wilder Park,Louisville,KY,64200,68700.0
Mapleton Hill,Boulder,CO,170600,189600.0
Kalorama,Washington,DC,377400,429500.0
Hazelwood,Louisville,KY,50000,62400.0
Produce & Waterfront,Oakland,CA,209100,314200.0
Brownsboro Zorn,Louisville,KY,154100,167900.0
Carver City,Tampa,FL,55200,76700.0
Diamond Heights,San Francisco,CA,299600,420100.0
Dearborn Park,Chicago,IL,195500,192000.0
East Aurora,Boulder,CO,103200,114300.0
Overland,Denver,CO,127200,155000.0
Third Ward,Charlotte,NC,157600,155900.0
Lake View,Kirkland,WA,250400,275400.0
Judiciary Square,Washington,DC,414700,473500.0
Bonnycastle,Louisville,KY,181800,220100.0
Castleberry Hill,Atlanta,GA,131100,114700.0
South Eola,Orlando,FL,125200,195100.0
German Village Commission,Columbus,OH,166200,193300.0
Channel District,Tampa,FL,124000,174900.0
Fifeville,Charlottesville,VA,148000,158800.0
Printers Row,Chicago,IL,197500,206600.0
Downtown,West Palm Beach,FL,118400,188700.0
Rock Creek Lexington Road,Louisville,KY,190800,224500.0
Riverfront,Philadelphia,PA,267400,292000.0
Central Cocoanut,Sarasota,FL,160500,206800.0
Ridgedale Park,Atlanta,GA,122900,113400.0
Central College,Columbus,OH,74200,67300.0
Hawthorne,Louisville,KY,145300,169500.0
Atlantic Station,Atlanta,GA,99400,139400.0
Belle Isle,Miami Beach,FL,222800,336600.0
Central Waterfront - Dogpatch,San Francisco,CA,534900,741600.0
Ansley Park,Atlanta,GA,133200,137500.0
Fremont Park,Glendale,CA,181500,225300.0
Heritage Eagle Bend,Aurora,CO,321700,368900.0
Tampa-Bayshore Gardens,Tampa,FL,133800,131900.0
Poplar Level,Louisville,KY,123500,136600.0
Buckhead Village,Atlanta,GA,134600,150200.0
Old Town North,Alexandria,VA,266300,293200.0
McLean Gardens,Washington,DC,345000,353700.0
Civic Center,Denver,CO,260300,302200.0
Camp Taylor,Louisville,KY,91200,100900.0
South Orange,Orlando,FL,68200,77300.0
Prestonia,Louisville,KY,97500,113300.0
Downtown,Tampa,FL,147500,196700.0
Fairfax Village,Washington,DC,120600,152800.0
Hayden Island,Portland,OR,128800,156400.0
Highlands,Louisville,KY,113100,131700.0
Merriwether,Louisville,KY,74200,85900.0
Bethlehem,Augusta,GA,34100,31300.0
Downtown Knoxville,Knoxville,TN,161300,148800.0
Chantilly,Charlotte,NC,73700,78800.0
Penn Quarter,Washington,DC,391500,439100.0
Gardiner Lane,Louisville,KY,192300,219300.0
Sunrise Intracoastal,Fort Lauderdale,FL,125900,184400.0
Girdwood,Anchorage,AK,215300,190000.0
Northeast,Alexandria,VA,225300,223200.0
Lido Key,Sarasota,FL,223700,249200.0
Cabbagetown,Atlanta,GA,125100,157700.0
Historic Third Ward,Milwaukee,WI,208700,221100.0
New Horizons South Bay,Torrance,CA,304400,343200.0
Germantown,Nashville,TN,151500,182500.0
North Golf Estates,Fort Lauderdale,FL,58000,74500.0
Harbour Isles,Fort Lauderdale,FL,306900,351500.0
Bay Colony Club,Fort Lauderdale,FL,82200,122100.0
Keewaydin,Boulder,CO,133700,151800.0
Hillcrest,Hollywood,FL,40100,56000.0
North Weymouth,Weymouth,MA,177300,181300.0
Ponderosa,Sunnyvale,CA,270300,379700.0
Sunset,Renton,WA,111000,101100.0
Emerald Hills,Hollywood,FL,86200,108900.0
Hollywood Lakes,Hollywood,FL,63100,73100.0
North Shore,Miami Beach,FL,110700,194700.0
Old City,Philadelphia,PA,269800,269900.0
South Central Beach,Hollywood,FL,136000,205500.0
Oceanfront,Miami Beach,FL,228000,318700.0
Nautilus,Miami Beach,FL,174300,226900.0
South Pointe,Miami Beach,FL,255200,344800.0
